"icao","iata","name"
"AAN","WD","Amsterdam Airlines"
"ANU","","Andalus Lineas Aereas"
"AAA","AN","Ansett Australia"
"AFG","FG","Ariana Afghan Airlines"
"NAK","Q9","Arik Niger"
"TFL","OR","Arkefly"
"AIZ","IZ","Arkia Israel Airlines"
"RNV","U8","Armavia"
"APW","JW","Arrow Air"
"OCA","R7","Aserca Airlines"
"AWA","Y5","Asia Wings"
"RIT","6K","Asian Spirit"
"AWM","AW","Asian Wings Airways"
"AAR","OZ","Asiana Airlines"
"AAS","4K","Askari Aviation"
"","8D","Astair"
"AEU","5W","Astraeus"
"ASZ","OB","Astrakhan Airlines"
"ACP","8V","Astral Aviation"
"AMT","TZ","ATA Airlines"
"","ZF","Athens Airways"
"A1F","A1","Atifly"
"AYZ","3G","Atlant-Soyuz Airlines"
"FLI","RC","Atlantic Airways"
"ASQ","EV","Atlantic Southeast Airlines"
"LUR","TD","Atlantis European Airways"
"GTI","5Y","Atlas Air"
"BMM","8A","Atlas Blue"
"KKK","KK","Atlasjet"
"VAS","V8","ATRAN Cargo Airlines"
"TUR","","ATUR"
"AUB","IQ","Augsburg Airways"
"AUK","AU","AUOS"
"AUR","GR","Aurigny Air Services"
"","W7","Austral Brasil"
"AUA","OS","Austrian Airlines"
"TYR","VO","Austrian Arrows"
"TWN","EC","Avialeasing Aviation Company"
"AVA","AV","Avianca - Aerovias Nacionales de Colombia"
"","AO","Avianova"
"SMJ","Z3","Avient Aviation"
"AIA","U3","Avies"
"AGX","","Aviogenex"
"AHY","J2","Azerbaijan Airlines"
"AZU","AD","Azul"
"CFE","CJ","BA CityFlyer"
"BHS","UP","Bahamasair"
"BUU","BU","Baikotovitchestrian Airlines"
"","LZ","Balkan Bulgarian Airlines"
"BA1","B1","Baltic Air lines"
"BLL","","Baltic Airlines"
"BKP","PG","Bangkok Airways"
"NKF","8N","Barents AirLink"
"BEU","","Bateleur Air"
"BLS","JV","Bearskin Lake Air Service"
"BHP","4T","Belair Airlines"
"BRU","B2","Belavia Belarusian Airlines"
"BLV","B3","Bellview Airlines"
"BMJ","CH","Bemidji Airlines"
"BRG","8E","Bering Air"
"BVT","J8","Berjaya Air"
"BKF","","BF-Lento OY"
"BBC","BG","Biman Bangladesh Airlines"
"IBB","NT","Binter Canarias"
"BSA","BZ","Black Stallion Airways"
"JOR","0B","Blue Air"
"BPA","BV","Blue Panorama Airlines"
"BWG","QW","Blue Wings"
"BLF","KF","Blue1"
"BMA","BD","bmi"
"BMI","WW","bmibaby"
"","01","Bobb Air Freight"
"BZE","GB","BRAZIL AIR"
"BRS","","Brazilian Air Force"
"BZH","DB","Brit Air"
"BAW","BA","British Airways"
"BIH","BS","British International Helicopters"
"LAJ","KJ","British Mediterranean Airways"
"BMR","","British Midland Regional"
"DAT","SN","Brussels Airlines"
"BPS","","Budapest Aircraft Services/Manx2"
"LZB","FB","Bulgaria Air"
"BQB","BQ","Buquebus Líneas Aéreas"
"","4P","Business Aviation"
"BCC","8B","BusinessAir"
"","XV","BVI Airways"
"ICL","5C","CAL Cargo Air Lines"
"CLI","XG","Calima Aviacion"
"","QC","Camair-co"
"","K6","Cambodia Angkor Air"
"CDN","CP","Canadian Airlines"
"YCP","CN","Canadian National Airways"
"MPE","5T","Canadian North"
"CAP","C2","CanXplorer"
"CA1","C1","CanXpress"
"KAP","9K","Cape Air"
"CGP","8L","Cargo Plus Aviation"
"BWA","BW","Caribbean Airlines"
"","KW","Carnival Air Lines"
"KRP","V3","Carpatair"
"SMW","","Carpatair Flight Training"
"CPN","RV","Caspian Airlines"
"CPA","CX","Cathay Pacific"
"","OC","Catovair"
"","NS","Caucasus Airlines"
"CAY","KX","Cayman Airways"
"CIF","1F","CB Airways UK"
"XBM","","CBM America"
"CCC","CB","CCML Airlines"
"CEB","5J","Cebu Pacific"
"CEL","","CEIBA Intercontinental"
"CCG","","Central Connect Airlines"
"CLW","C0","Centralwings"
"CHW","","Charter Air"
"CHQ","RP","Chautauqua Airlines"
"CAL","CI","China Airlines"
"CES","MU","China Eastern Airlines"
"CSN","CZ","China Southern Airlines"
"","9C","China SSS"
"","KN","China United"
"CUA","HR","China United Airlines"
"CQN","OQ","Chongqing Airlines"
"","99","Ciao Air"
"YCC","YC","Ciel Canadien"
"CIM","QI","Cimber Air"
"RUS","C9","Cirrus Airlines"
"SDR","CF","City Airline"
"CIX","G3","City Connexion Airlines"
"BCY","WX","CityJet"
"CGK","","Click Airways"
"","QA","Click Mexicana"
"","DQ","Coastal Air"
"CJC","9L","Colgan Air"
"COM","OH","Comair"
"CAW","MN","Comair South Africa"
"UCA","C5","CommutAir"
"CWK","KR","Comores Airlines"
"","E9","Compagnie Africaine d'Aviation"
"CPZ","CP","Compass Airlines"
"COE","","Comtel Air"
"CFG","DE","Condor Flugdienst"
"","XZ","Congo Express"
"2CO","","ConneX European Airline"
"CHP","6A","Consorcio Aviaxsa"
"KIS","C3","Contact Air"
"COA","CO","Continental Airlines"
"","CO","Continental Express"
"CMI","CS","Continental Micronesia"
"VCV","V0","Conviasa"
"CMP","CM","Copa Airlines"
"CX0","0X","Copenhagen Express"
"AAQ","","Copterline"
"CAI","","Corendon Airlines"
"CRL","SS","Corsairfly"
"CCM","XK","Corse-Mediterranee"
"CAN","","Crest Aviation"
"CTN","OU","Croatia Airlines"
"CRO","","Crown Airways"
"CUB","CU","Cubana de Aviación"
"CYP","CY","Cyprus Airways"
"","YK","Cyprus Turkish Airlines"
"CSA","OK","Czech Airlines"
"DAO","D3","Daallo Airlines"
"KHB","H8","Dalavia"
"","DA","Dana Air"
"","V5","Danube Wings"
"DWT","0D","Darwin Airline"
"DTR","DX","DAT Danish Air Transport"
"BAG","DI","dba"
"DKN","","Deccan Aviation"
"DLK","","Deccan Aviation Lanka"
"DEA","","Delta Aerotaxi"
"DAL","DL","Delta Air Lines"
"DNM","","Denim Air"
"DSY","DH","Dennis Sky"
"","2A","Deutsche Bahn"
"DSV","","Direct Aero Services"
"DJB","D8","Djibouti Airlines"
"UDN","","Dniproavia"
"MDO","D1","Domenican Airlines"
"DOA","DO","Dominicana de Aviaci"
"DMO","E3","Domodedovo Airlines"
"UDC","5D","DonbassAero"
"HDA","KA","Dragonair"
"DRK","KB","Druk Air"
"DBK","","Dubrovnik Air"
"DNL","","Dutch Antilles Express"
"","H7","Eagle Air"
"EGS","","Eagles Airlines"
"UGX","QU","East African"
"ESR","ZE","Eastar Jet"
"EZE","T3","Eastern Airways"
"ELA","DK","Eastland Air"
"EAA","","Eastok Avia"
"EFY","","EasyFly"
"EZY","U2","easyJet"
"","DS","EasyJet Switzerland"
"ECU","","Ecuavia"
"EDW","WK","Edelweiss Air"
"MSR","MS","Egyptair"
"MSE","","EgyptAir Express"
"ELY","LY","El Al Israel Airlines"
"BRQ","UZ","El-Buraq Air Transport"
"ELK","","ELK Airways"
"GIE","E4","Elysian Airlines"
"UAE","EK","Emirates Airline"
"EEA","EU","Empresa Ecuatoriana De Aviacion"
"ENJ","","Enerjet"
"QQQ","","ENTERair"
"4AA","FA","Epic Holiday"
"ERR","7H","Era Alaska"
"ERT","B8","Eritrean Airlines"
"ELL","OV","Estonian Air"
"ETH","ET","Ethiopian Airlines"
"ETD","EY","Etihad Airways"
"","RZ","Euro Exec Express"
"ECA","UI","Eurocypria Airlines"
"EEU","GJ","Eurofly Service"
"MJX","4L","Euroline"
"ELO","K2","Eurolot"
"EAL","EA","European Air Express"
"EUV","ES","EuropeSky"
"EWG","EW","Eurowings"
"EVA","BR","EVA Air"
"EIA","EZ","Evergreen International Airlines"
"XLA","JN","Excel Airways"
"XEL","","Excel Charter"
"LHN","EO","Express One International"
"BTA","XE","ExpressJet"
"EZA","","Eznis Airways"
"EFA","EF","Far Eastern Air Transport"
"QFZ","","Fars Air Qeshm"
"FDD","","Feeder Airlines"
"FXX","FU","Felix Airways"
"FN1","","Finlandian"
"FIN","AY","Finnair"
"WBA","FC","Finncomm Airlines"
"FFM","FY","Firefly"
"FAB","7F","First Air"
"FCA","DP","First Choice Airways"
"FLT","B5","Flightline"
"FWL","RF","Florida West International Airways"
"FVM","","Flugfelag Vestmannaeyja"
"","6I","Fly 6ix"
"FBL","F1","Fly Brasil"
"3FF","3F","Fly Colombia"
"FDB","FZ","Fly Dubai"
"FFV","5H","Fly540"
"BBO","F7","Flybaboo"
"BEE","BE","Flybe"
"GSM","B4","Flyglobespan"
"FYH","W3","Flyhy Cargo Airlines"
"LIL","TE","FlyLal"
"LLC","","FlyLAL Charters"
"NDC","LF","FlyNordic"
"FOS","VY","Formosa Airlines"
"FRE","FP","Freedom Air"
"FRL","","Freedom Airlines"
"FFT","F9","Frontier Airlines"
"FTA","2F","Frontier Flying Service"
"","JH","Fuji Dream Airlines"
"GBK","GY","Gabon Airlines"
"GDR","GP","Gadair European Airlines"
"GIA","GA","Garuda Indonesia"
"GZP","4G","Gazpromavia"
"GBL","GT","GB Airways"
"","GK","Genesis"
"TGZ","A9","Georgian Airways"
"GNN","","Georgian International Airlines"
"GFG","QB","Georgian National Airlines"
"FLB","","German Air Force - FLB"
"GER","GM","German International Air Lines"
"GMI","ST","Germania"
"GWI","4U","Germanwings"
"GHB","G0","Ghana International Airlines"
"GLP","GH","Globus"
"","GN","GNB Linhas Aereas"
"GOW","G8","Go Air"
"GJS","G7","GoJet Airlines"
"GLO","G3","Gol Transportes Aéreos"
"GAO","DC","Golden Air"
"","YD","Gomelavia"
"GDC","","Grand China Air"
"GLA","ZK","Great Lakes Airlines"
"GFY","XX","Greenfly"
"TAT","TA","Grupo TACA"
"","6P","Gryphon Airlines"
"GFA","","Gulf Air"
"GBA","GF","Gulf Air Bahrain"
"GFT","","Gulfstream International Airlines"
"HAG","H6","Hageland Aviation Services"
"CHH","HU","Hainan Airlines"
"HAM","2T","Haiti Ambassador Airlines"
"","7Z","Halcyonair"
"HAY","","Hamburg Airways"
"HHI","4R","Hamburg International"
"HXK","HX","Hankook Air"
"HA1","H1","Hankook Air US"
"HNX","HN","Hankook Airline"
"HLF","HF","Hapagfly"
"HPY","","Happy Air"
"","H3","Harbour Air"
"HAL","HA","Hawaiian Airlines"
"","BH","Hawkair"
"HFR","8H","Heli France"
"JBA","JB","Helijet"
"HEJ","T4","Hellas Jet"
"IMP","HT","Hellenic Imperial Airways"
"FHE","HW","Hello"
"OAW","2L","Helvetic Airways"
"HER","UD","Hex'Air"
"HWY","","Highland Airways"
"HYM","HC","Himalayan Airlines"
"ADO","HD","Hokkaido International Airlines"
"HCC","","Holidays Czech Airlines"
"OME","MR","Homer Air"
"HKE","UO","Hong Kong Express Airways"
"QXE","QX","Horizon Air"
"HZA","BN","Horizon Airlines"
"","G5","Huaxia"
"RSY","H5","I-Fly"
"IBE","IB","Iberia Airlines"
"IWD","TY","Iberworld"
"IBX","FW","Ibex Airlines"
"RAC","","Icar Air"
"ICE","FI","Icelandair"
"ITX","IK","Imair Airlines"
"IAC","IC","Indian Airlines"
"IBU","I9","Indigo"
"IGO","6E","IndiGo Airlines"
"AXC","","Indochina Airlines"
"AWQ","QZ","Indonesia AirAsia"
"IAA","IO","Indonesian Airlines"
"IG1","G1","Indya Airline Group"
"ILN","D6","Interair South Africa"
"SUW","ZA","Interavia Airlines"
"ITK","ID","Interlink Airlines"
"ISK","3L","Intersky"
"IRA","IR","Iran Air"
"IRC","EP","Iran Aseman Airlines"
"IAW","IA","Iraqi Airways"
"MKU","WP","Island Air"
"","IS","Island Airlines"
"ISX","IP","Island Spirit"
"ISW","IF","Islas Airways"
"ISV","WC","Islena De Inversiones"
"ISR","6H","Israir"
"IKA","GI","Itek Air"
"JGN","","Jagson Airlines"
"JEX","JC","JAL Express"
"JAZ","JO","JALways"
"JAS","JD","Japan Air System"
"JAL","JL","Japan Airlines"
"JAL","JL","Japan Airlines Domestic"
"JAA","EG","Japan Asia Airways"
"ZXY","ZX","Japan Regio"
"JTA","NU","Japan Transocean Air"
"JAT","JU","Jat Airways"
"JZR","J9","Jazeera Airways"
"JRB","","JC Royal Britannica"
"JJA","7C","Jeju Air"
"JAI","9W","Jet Airways"
"","QJ","Jet Airways of the U.S."
"EXS","LS","Jet2.com"
"JFU","8J","Jet4You"
"JAF","JF","Jetairfly"
"JBU","B6","JetBlue Airways"
"JEF","","Jetflite"
"JST","JQ","Jetstar Airways"
"JSA","3K","Jetstar Asia Airways"
"PIC","BL","Jetstar Pacific"
"JNA","LJ","Jin Air"
"","3B","JobAir"
"JOY","JR","Joy Air"
"DKH","HO","Juneyao Airlines"
"JPU","","Jupiter Airlines"
"JSR","JX","Jusur airways"
"KLS","","Kal Star Aviation"
"KMF","RQ","Kam Air"
"KND","","Kan Air"
"MVD","KV","Kavminvodyavia"
"KNI","KD","KD Avia"
"KDA","","Kendell Airlines"
"KEN","M5","Kenmore Air"
"KQA","KQ","Kenya Airways"
"KFR","IT","Kingfisher Airlines"
"KIN","","Kinloss Flying Training Unit"
"IRK","Y9","Kish Air"
"KLC","WA","KLM Cityhopper"
"KLM","KL","KLM Royal Dutch Airlines"
"KGL","7K","Kogalymavia Air Company"
"KBR","K7","KoralBlue Airlines"
"KEA","","Korea Express Air"
"KAL","KE","Korean Air"
"KSM","","Kosmos"
"KOQ","K1","Kostromskie avialinii"
"KJC","7B","Krasnojarsky Airlines"
"KSY","KY","KSY"
"KIL","GW","Kuban Airlines"
"KAC","KU","Kuwait Airways"
"KZU","GO","Kuzu Airlines Cargo"
"LPR","MJ","L"
"LRC","LR","LACSA"
"LAN","LA","LAN Airlines"
"LXP","LU","LAN Express"
"LPE","LP","LAN Peru"
"LAO","QV","Lao Airlines"
"LTC","","LatCharter"
"LDA","NG","Lauda Air"
"LMM","LQ","LCM AIRLINES"
"LIA","LI","Leeward Islands Air Transport"
"LAA","LN","Libyan Arab Airlines"
"LBL","L8","Line Blue"
"LAM","LM","Linhas A"
"LNI","JT","Lion Mentari Airlines"
"LIX","C4","LionXpress"
"LOC","ZQ","Locair"
"LOT","LO","LOT Polish Airlines"
"LOO","PQ","LSM Airlines Slowbird"
"UWW","II","LSM International"
"LTE","XO","LTE International Airways"
"LTO","L3","LTU Austria"
"LTU","LT","LTU International"
"LJJ","L4","Luchsh Airlines"
"LGW","HE","Luftfahrtgesellschaft Walter"
"DLH","LH","Lufthansa"
"GEC","LH","Lufthansa Cargo"
"CLH","CL","Lufthansa CityLine"
"LTR","L5","Lufttransport"
"","L7","Lugansk Airlines"
"LGL","LG","Luxair"
"MCK","CC","Macair Airlines"
"","DM","Maersk"
"IRM","W5","Mahan Air"
"MAS","MH","Malaysia Airlines"
"","Q2","Maldivian"
"","8Q","Maldivian Air Taxi"
"MAV","ML","Maldivo Airlines"
"SCW","","Malmo Aviation"
"SCW","TF","Malmö Aviation"
"MAC","R5","Malta Air Charter"
"MAH","MA","Malév"
"MDL","RI","Mandala Airlines"
"MDA","AE","Mandarin Airlines"
"MNO","JE","Mango"
"MPH","MP","Martinair"
"MRS","Y8","Marusya Airways"
"1QA","M4","Marysya Airlines"
"MAA","M7","MasAir"
"MKD","6F","MAT Airways"
"MAK","IN","MAT Macedonian Airlines"
"MTW","","Mauritania Airways"
"MXL","8M","Maxair"
"MYD","MW","Maya Island Air"
"MCA","","MCA Airlines"
"","9H","MDLR Airlines"
"","7Y","Med Airways"
"MDP","","Medallion Air"
"ISS","IG","Meridiana"
"MNA","MZ","Merpati Nusantara Airlines"
"ASH","YV","Mesa Airlines"
"MES","XJ","Mesaba Airlines"
"BTV","7P","Metro Batavia"
"MXA","MX","Mexicana de Aviaci"
"MXI","I6","MexicanaLink"
"MGL","OM","MIAT Mongolian Airlines"
"MEA","ME","Middle East Airlines"
"MDW","JI","Midway Airlines"
"MEP","YX","Midwest Airlines"
"MWA","MY","Midwest Airlines Egypt"
"MIC","","Mint Airways"
"MNB","MB","MNG Airlines"
"MDV","2M","Moldavian Airlines"
"MON","ZB","Monarch Airlines"
"ZTF","7M","Mongolian International Air Lines"
"MGX","YM","Montenegro Airlines"
"MAL","","Morningstar Air Express"
"GAI","3R","Moskovia Airlines"
"MSI","M9","Motor Sich"
"UBA","UB","Myanma Airways"
"MMM","8M","Myanmar Airways International"
"MYA","","Myflug"
"MYT","VZ","MyTravel Airways"
"","8I","Myway Airlines"
"","N1","N1 Peru"
"KNE","XY","Nas Air"
"NAS","UE","Nasair"
"NJS","NC","National Jet Systems"
"NTW","CE","Nationwide Airlines"
"RON","ON","Nauru Air Corporation"
"RNA","RA","Nepal Airlines"
"EJA","1I","NetJets"
"NEA","EJ","New England Airlines"
"NXB","XB","NEXT Brasil"
"NTJ","","NextJet"
"NX1","","Nihon.jet connect"
"NLY","HG","Niki"
"NIA","NP","Nile Air"
"NOK","DD","Nok Air"
"","Y7","NordStar Airlines"
"NCF","","Norfolk County Flight College"
"FNA","","Norlandair"
"","N0","Norte Lineas Aereas"
"NTM","","North American Airlines"
"HMR","","North American Charters"
"","U7","Northern Dene Airways"
"NWA","NW","Northwest Airlines"
"PLR","J3","Northwestern Air"
"NAX","DY","Norwegian Air Shuttle"
"TFN","","Norwegian Aviation College"
"LBT","BJ","Nouvel Air Tunisie"
"NVR","1I","Novair"
"OHK","O8","Oasis Hong Kong Airlines"
"BCN","","Ocean Air"
"IXO","","Ocean Air Cargo"
"ONE","O6","Oceanair"
"","O2","Oceanic Airlines"
"OAL","OA","Olympic Airlines"
"OMA","WY","Oman Air"
"OAE","OY","Omni Air International"
"OTG","","One Two Go Airlines"
"1CH","1C","OneChina"
"OHY","8Q","Onur Air"
"OBS","","Orbest"
"OBT","","Orbit Airlines"
"ORC","OI","Orchid Airlines"
"ORB","R2","Orenburg Airlines"
"OEA","OX","Orient Thai Airlines"
"OGN","QO","Origin Pacific Airways"
"OLT","OL","Ostfriesische Lufttransport"
"OLA","OJ","Overland Airways"
"OZJ","O7","Ozjet Airlines"
"PCO","8P","Pacific Coastal Airline"
"PEC","Q8","Pacific East Asia Cargo Airlines"
"PFL","","Pacific Flier"
"PSA","","Pacific Island Aviation"
"NMI","LW","Pacific Wings"
"PIA","PK","Pakistan International Airlines"
"","5P","Pal airlines"
"PNR","PV","PAN Air"
"","7Q","Pan Am World Airways Dominicana"
"PQW","WQ","PanAm World Airways"
"","HI","Papillon Grand Canyon Helicopters"
"PMW","I7","Paramount Airways"
"IPV","PA","Parmiss Airlines"
"PTB","","Passaredo Transportes Aereos"
"PBA","9Q","PB Air"
"PGT","PC","Pegasus Airlines"
"","6D","Pelita"
"PEN","KS","Peninsula Airways"
"","P9","Peruvian Airlines"
"PAL","PR","Philippine Airlines"
"PDT","PI","Piedmont Airlines"
"FLG","9E","Pinnacle Airlines"
"PUA","PU","PLUNA"
"PMT","U4","PMTair"
"POT","","Polet"
"","YQ","Polet Airlines"
"PAO","PH","Polynesian Airlines"
"POE","PD","Porter Airlines"
"PGA","NI","Portugalia"
"PDC","BK","Potomac Air"
"PRF","PW","Precision Air"
"","PF","Primera Air"
"PTI","","Privatair"
"","P0","Proflight Commuter Services"
"QFA","QF","Qantas"
"QTR","QR","Qatar Airways"
"QAX","C3","QatXpress"
"","R6","RACSA"
"","PT","Red Jet Andes"
"","QY","Red Jet Canada"
"","4X","Red Jet Mexico"
"RWZ","WZ","Red Wings"
"","Z7","REDjet"
"","FN","Regional Airlines"
"RXA","ZL","Regional Express"
"REP","P7","Regional Paraguaya"
"RPA","RW","Republic Airlines"
"RPH","RH","Republic Express Airlines"
"","R4","Rossiya"
"SDM","FV","Rossiya-Russian Airlines"
"RAC","VJ","Royal Air Cambodge"
"RAM","AT","Royal Air Maroc"
"RBA","BI","Royal Brunei Airlines"
"","69","Royal European Airlines"
"RFJ","RL","Royal Falcon"
"RJA","RJ","Royal Jordanian"
"RNA","RA","Royal Nepal Airlines"
"PPW","","Royal Phnom Penh Airways"
"RLU","","Rusline"
"RWD","WB","Rwandair Express"
"RYA","","Ryan Air Services"
"RYN","RD","Ryan International Airlines"
"RYR","FR","Ryanair"
"RAE","YS","Régional"
"SBI","S7","S7 Airlines"
"","4Q","Safi Airlines"
"SHD","","Sahara Airlines"
"","S6","Salmon Air"
"SLC","SO","Salsa d'Haiti"
"","SZ","Salzburg arrows"
"SMY","ZS","Sama Airlines"
"BBR","S3","Santa Barbara Airlines"
"SOV","6W","Saratov Aviation Division"
"CNO","","SAS Braathens"
"SOZ","HZ","Sat Airlines"
"SAT","SP","SATA Air Acores"
"RZO","S4","SATA International"
"NSE","9R","SATENA"
"SVA","SV","Saudi Arabian Airlines"
"SAS","SK","Scandinavian Airlines System"
"VSV","DV","Scat Air"
"SCE","","Scenic Airlines"
"SAY","","ScotAirways"
"SBS","BB","Seaborne Airlines"
"SQH","K5","SeaPort Airlines"
"SGG","DN","Senegal Airlines"
"","YR","SENIC AIRLINES"
"SA1","S1","Serbian Airlines"
"STU","FS","Servicios de Transportes A"
"SEN","","Sevenair"
"","5E","SGA Airlines"
"SAI","NL","Shaheen Air International"
"CDG","SC","Shandong Airlines"
"CSH","FM","Shanghai Airlines"
"SHA","SH","Sharp Airlines"
"CSZ","ZH","Shenzhen Airlines"
"TCF","S5","Shuttle America"
"SIB","5M","Sibaviatrans"
"CSC","3U","Sichuan Airlines"
"SRH","FT","Siem Reap Airways"
"SLK","MI","SilkAir"
"SIA","SQ","Singapore Airlines"
"SQC","SQ","Singapore Airlines Cargo"
"SGY","N5","Skagway Air Service"
"SKU","H2","Sky Airline"
