iata,icao,name
,APM,Airpac,
,AHH,Airplanes Holdings,
,AHE,Airport Helicopter Basel,
,IPL,Airpull Aviation,
,SSN,Airquarius Air Charter,
,AQU,AirQuarius Aviation,
,ADA,Airservices Australia,
,SHH,Airshare Holdings,
FF,,Airshop,
,SPD,Airspeed Aviation,
,ASP,Airsprint,
PL,ASE,Airstars,
,IME,Airtime Charters,
FL,TRS,AirTran Airways,
,VAB,Airtrans,
,TSQ,airtransse,
,RVL,Airvallee,
,AVV,Airvantage,
,RVE,Airventure,
,AIV,Airvias S/A Linhas Aéreas,
,AWV,Airwave Transport,
,WLA,Airwaves Airlink,
,AEX,Airway Express,
,WAY,Airways,
,XFX,Airways of New Zealand,
,DRM,Airways Flight Training,
,AWB,Airways International,
,AWZ,AirWest,
,NWG,Airwing,
,WGS,Airwings oy,
,AWK,Airwork,
,SPZ,Airworld,
,AJY,Ajet,
,AKZ,AK Navigator,
,AKH,Akhal,
,AKK,Aklak Air,
,AKB,Aktjubavia,
,LHR,Al Ahram Aviation,
,PHR,Al Farana Airline,
,HJT,Al Rais Cargo,
,LRW,Al Rida Airways,
,LIE,Al-Dawood Air,
,LDN,Al-Donas Airlines,
,RAD,Alada,
,AYD,Aladia Airlines,
,ANH,Alajnihah for Air Transport,
,LML,Alamia Air,
,AVD,Álamo Aviación,
,AMH,Alan Mann Helicopters,
,ALW,Alas Nacionales,
AS,ASA,Alaska Airlines,
KO,AER,Alaska Central Express,
,AAK,Alaska Island Air,
,BMV,Alatau Airlines,
,AFQ,Alba Servizi Aerotrasporti,
LV,LBC,Albanian Airlines,
F4,NBK,Albarka Air,
,LBW,Albatros Airways,
,BNI,Alberni Airways,
,ABK,Alberta Citylink,
,GOA,Alberta Government,
,LUC,Albinati Aeronautics,
,ALD,Albion Aviation,
,LBI,Albisa,
,AOA,Alcon Servicios Aéreos,
,LEM,Aleem,
,AXN,Alexandair,
,JMR,Alexandair,
,KHH,Alexandria Airlines,
,FCU,Alfa 4,
,LFP,Alfa Aerospace,
,AFA,Alfa Air,
,AAJ,Alfa Airlines,
,AGG,Algoma Airways,
,AIU,Alicante Internacional Airlines,
D4,LID,Alidaunia,
,PAJ,Aliparma,
AZ,AZA,Alitalia,
,SMX,Alitalia Express,
,LVN,Aliven,
,AKN,Alkan Air,
,BLA,All Charter Limited,
NH,ANA,All Nippon Airways,
,ASR,All Star Airlines,
,CNX,Allcanada Express,
,ALO,Allegheny Commuter Airlines,
G4,AAY,Allegiant Air,
CD,LLR,Alliance Air,
QQ,UTY,Alliance Airlines,
,KVR,Alliance Avia,
,RWB,Alliance Express Rwanda,
,AJK,Allied Air,
,ALF,Allied Command Europe,
,LMT,Almaty Aviation,
,VER,Almaver,
,HPO,Almiron Aviation,
AQ,AAH,Aloha Air Cargo,
,LOK,Alok Air,
,APH,Alpha Aviation,
,AJW,Alpha Jet International,
E8,ELG,Alpi Eagles,
,AIH,Alpine Air Chile,
5A,AIP,Alpine Air Express,
,LPC,Alpine Aviation,
,ALP,Alpliner AG,
6R,DRU,Alrosa Mirny Air Enterprise,
,LRO,Alrosa-Avia,
,LSR,Alsair,
,SQR,Alsaqer Aviation,
,ALZ,Alta Flights,
,AGH,Altagna,
,ALQ,Altair Aviation,
,GTC,Altin Havayolu Tasimaciligi Turizm Ve Ticaret,
,AXS,Altus Airlines,
,AQO,Aluminum Company Of America,
,ALY,Alyeska Air Service,
1A,AGT,Amadeus Global Travel Distribution,
,OBK,Amako Airlines,
,MLF,Amal Airlines,
,APF,Amapola Flyg AB,
Z8,AZN,Amaszonas,
,ABT,Ambeo,
0A,GNT,Amber Air,
,JEE,Ambjek Air Services,
,MCY,Ambulance Air Africa,
,AMV,AMC Airlines,
,VAM,Ameravia,
,AMK,Amerer Air,
HP,AWE,America West Airlines,
AA,AAL,American Airlines,
,LKP,American Aviation,
MQ,EGF,American Eagle Airlines,
,XFS,American Flight Service Systems,
,FYS,American Flyers,
,SCM,American Jet International,
,AMF,Ameriflight,
M6,AJT,Amerijet International,
,AJI,Ameristar Jet Charter,
,XPE,Amira Air,
,AMZ,Amiya Airline,
,MMP,AMP,
,XAM,AMR Services,
,XMG,AMS Group,
WD,AAN,Amsterdam Airlines,
2V,,Amtrak,
,AJV,ANA & JP Express,
,ADX,Anderson Aviation,
,ANS,Andes Líneas Aéreas,
,AGU,Angara Airlines,
,NGE,Angel Airlines,
,NGF,Angel Flight America,
,VAV,Angkor Air,
,AOL,Angkor Airlines,
,AKW,Angkor Airways,
,ANC,Anglo Cargo,
,NGV,Angoavia,
,AGO,Angola Air Charter,
,NGC,Angoservice,
,AKF,Anikay Air,
,RZZ,Anoka Air Charter,
,TIR,Antair,
,NAU,Antanik-Air,
,ANM,Antares Airtransport,
,ABI,Antigua and Barbuda Airways,
,SUN,Antillana De Navegación Aérea,
HO,DJA,Antinea Airlines,
,ADB,Antonov Airlines,
O4,ABV,Antrak Air,
,APY,APA Internacional,
,LYT,Apatas Air,
,APX,Apex Air Cargo,
,POY,Apoyo Aéreo,
,APL,Appalachian Flying Service,
,ABO,APSA Colombia,
,CNH,Aquila Air,
,AQL,Aquila Air,
,AGC,Arab Agricultural Aviation,
,AWS,Arab Wings,
,AAP,Arabasco Air Services,
,KOY,Araiavia,
,IRW,Aram Airline,
,ARV,Aravco,
,AKC,Arca Aerovías Colombianas,
,DHM,Archer Aviation,
5F,CIR,Arctic Circle Air Service,
,AWR,Arctic Wings And Rotors,
ZE,AZE,Arcus-Air Logistic,
,FAG,Argentine Air Force,
,RGO,Argo,
,ARY,Argosy Airways,
,RTO,Arhabaev Tourism Airlines,
,ARW,Aria,
,IRX,Aria Tour,
FG,AFG,Ariana Afghan Airlines,
,ARA,Arik Air,
,AZY,Arizona Airways,
,TMP,Arizona Express Airlines,
,AZP,Arizona Pacific Airways,
OR,TFL,Arkefly,
,KEK,Arkhabay,
,OAO,Arkhangelsk 2 Aviation Division,
IZ,AIZ,Arkia Israel Airlines,
,RMO,Arm-Aero,
U8,RNV,Armavia,
,ARQ,Armstrong Air,
,AAC,Army Air Corps,
,PXX,Aroostook Aviation,
,URP,ARP 410 Airlines,
,END,Arrendadora y Transportadora Aérea,
,JTS,Arrendamiento de Aviones Jets,
,ADT,Arrendaminetos y Transportes Turisticos,
JW,APW,Arrow Air,
,RWC,Arrow Ecuador Arrowec,
,WAP,Arrow Panama,
,ARH,Arrowhead Airways,
,RTH,Artis,
,RBX,Arubaexel,
,IRD,Arvand Airlines,
YE,ACQ,Aryan Cargo Express,
,SRY,As-Aero,
,API,ASA Pesada,
,XKX,ASECNA,
R7,OCA,Aserca Airlines,
,KAA,Asia Aero Survey and Consulting Engineers,
,AVT,Asia Avia Airlines,
,CID,Asia Continental Airlines,
OE,AOT,Asia Overnight Express,
,MGE,Asia Pacific Airlines,
,SPY,Asian Aerospace Service,
KJ,AAZ,Asian Air,
HJ,AXF,Asian Express Airlines,
6K,RIT,Asian Spirit,
OZ,AAR,Asiana Airlines,
4K,AAS,Askari Aviation,
,XXX,ASL,
,APQ,Aspen Aviation,
,AHF,Aspen Helicopters,
,XJA,Assistance Aeroportuaire de L'Aeroport de Paris,
,SCD,Associated Aviation,
,PVK,Association of Private Pilots of Kazakhstan,
,PKA,AST Pakistan Airways,
8D,SUW,Astair,
ER,DHL,Astar Air Cargo,
5W,AEU,Astraeus,
OB,ASZ,Astrakhan Airlines,
8V,ACP,Astral Aviation,
,ATP,ASTRAL Colombia - Aerotransportes Especiales,
,ASV,Astravia-Bissau Air Transports,
,AAV,Astro Air International,
,XAT,AT and T Aviation Division,
TZ,AMT,ATA Airlines,
,ABZ,ATA Brasil,
,AOF,Atair Pty,
,TXU,ATESA Aerotaxis Ecuatorianos,
,ATU,Atlant Aerobatics,
3G,AYZ,Atlant-Soyuz Airlines,
,ATB,Atlantair,
,MDC,Atlantic Aero and Mid-Atlantic Freight,
,HGH,Atlantic Air Lift,
,LFR,Atlantic Airfreight Aviation,
,BJK,Atlantic Airlines,
,GBN,Atlantic Airlines,
,NPT,Atlantic Airlines,
,HHA,Atlantic Airlines de Honduras,
,AYN,Atlantic Airlines Nicaragua,
RC,FLI,Atlantic Airways,
,BLR,Atlantic Coast Airlines,
,PRT,Atlantic Coast Jet,
,AGF,Atlantic Gulf Airlines,
,FAC,Atlantic Helicopters,
,AIW,Atlantic Island Airways,
,NRS,Atlantic Richfield,
,RCU,Atlantic S.L.,
EV,ASQ,Atlantic Southeast Airlines,
,CAA,Atlantic Southeast Airlines,
,TLB,Atlantique Air Assistance,
,AAO,Atlantis Airlines,
TD,LUR,Atlantis European Airways,
,ATE,Atlantis Transportation Services,
5Y,GTI,Atlas Air,
,ATR,Atlas Airlines,
,IRH,Atlas Aviation Group,
8A,BMM,Atlas Blue,
,ACY,Atlas Cargo Airlines,
,TDT,Atlas Helicopters,
KK,KKK,Atlasjet,
,AMA,ATMA,
V8,VAS,ATRAN Cargo Airlines,
,ETC,ATTICO,
,UND,Atuneros Unidos de California,
,TUR,ATUR,
IP,JOL,Atyrau Air Ways,
,WPR,Auckland Regional Rescue Helicopter Trust,
,ADI,Audeli Air,
,AUD,Audi Air,
IQ,AUB,Augsburg Airways,
,AUF,Augusta Air Luftfahrtunternehmen,
,ISM,Auo Airclub AIST-M,
,RBE,Aur Rum Benin,
,LSK,Aurela,
GR,AUR,Aurigny Air Services,
,URR,Aurora Airlines,
,AUU,Aurora Aviation,
NO,AUS,Aus-Air,
,TXX,Austin Express,
AU,AUT,Austral Líneas Aéreas,
,AAU,Australia Asia Airlines,
,XME,Australian air Express,
AO,AUZ,Australian Airlines,
,CWP,Australian Customs Service,
,RES,Australian Maritime Safety Authority,
,AWL,Australian Wetleasing,
OS,AUA,Austrian Airlines,
VO,TYR,Austrian Arrows,
,UST,Austro Aéreo,
,UVT,Auvia Air,
,KYC,Av Atlantic,
,AVH,AV8 Helicopters,
,AVK,AV8 Helicopters,
,MBA,Avag Air,
,VAI,Avalair,
,VNR,Avantair,
,ATV,Avanti Air,
,VBC,AVB-2004,
,MZK,AVC Airlines,
,ACC,Avcard Services,
,TTE,Avcenter,
J6,AOC,AVCOM,
,AVP,Avcorp Registrations,
,PHW,Ave.com,
VE,AVE,Avensa,
,VRT,Averitt Air Charter,
,VSC,AVESCA,
,UTX,Avfinity,
,ARB,Avia Air N.V.,
,AUP,Avia Business Group,
,AJF,Avia Consult Flugbetriebs,
JZ,SKX,Avia Express,
,SAP,Avia Jaynar,
,AVU,Avia Sud Aérotaxi,
,AVJ,Avia Traffic,
,VTT,Avia Trans Air Transport,
,VTG,Aviação Transportes Aéreos e Cargas,
,VME,Aviación Comercial de América,
,ANW,Aviación Del Noroeste,
,HID,Aviación Ejecutiva De Hildago,
,AVM,Aviación Ejecutiva Mexicana,
,AZS,Aviacon Zitotrans Air,
6A,CHP,Aviacsa,
,VXX,Aviaexpress Aircompany,
,IWS,Aviainvest,
,AVF,Aviair Aviation,
,NVI,Avial NV Aviation,
EC,TWN,Avialeasing Aviation,
,FFA,Avialesookhrana,
,VLV,Avialift Vladivostok,
,AVS,Avialsa T-35,
AV,AVA,Avianca Colombia,
,GHL,Aviance,
,ERG,Avianergo,
,OSO,Aviapartner,
,AVX,Aviapaslauga,
,VID,Aviaprad,
,XAV,Aviaprom Enterprises,
,BIV,Aviaservice,
,VVA,Aviast Air,
,TUP,Aviastar-Tu,
,GUG,Aviateca,
,AMJ,Aviation Amos,
,AVO,Aviation at Work,
,AVB,Aviation Beaufort,
,CKL,Aviation Charter Services,
,MMM,Aviation Meridian,
,QEA,Aviation Consultancy Office,
,FBW,Aviation Data Systems,
,DEF,Aviation Defense Service,
,FMY,Aviation Legere De L'Armee De Terre,
,AAM,Aviation Management,
,RIF,Aviation Ministry of the Interior of the Russian Federation,
,WLV,Aviation North,
,WLT,Aviation Partners,
,QLA,Aviation Quebec Labrador,
,AVQ,Aviation Services,
,AVW,Aviator Airways,
,LVR,Aviavilsa,
,AXV,Aviaxess,
,VZR,Aviazur,
,ACJ,Avicon,
,VNT,Avient Air Zambia,
Z3,SMJ,Avient Aviation,
U3,AIA,Avies,
,HQO,Avinor,
,ADZ,Avio Delta,
,FNM,Avio Nord,
,SLU,Avio Sluzba,
,BGF,Aviodetachment-28,
JJ,AGX,Aviogenex,
,ADQ,Avion Taxi,
,NRE,Aviones Are,
,AQT,Aviones de Renta de Quintana Roo,
,ADS,Aviones de Sonora,
,PSG,Aviones Para Servirle,
,AUN,Aviones Unidos,
,ROI,Avior Airlines,
,VSR,Aviostart AS,
G2,VXG,Avirex,
,ITF,Avita-Servicos Aéreos,
,ESO,Avitat,
,VJE,AvJet Routing,
V5,VLI,Avolar Aerolíneas,
,VSA,Avstar Aviation,
,ASM,Awesome Flight Services,
,AWO,Awood Air,
,AYS,Awsaj Aviation Services,
,AXR,Axel Rent,
6V,AXY,Axis Airways,
,AYT,Ayeet Aviation & Tourism,
,AYK,Aykavia Aircompany,
,AHC,Azal Avia Cargo,
,AZK,Azalhelikopter,
J2,AHY,Azerbaijan Airlines,
,AZT,Azimut,
,AZV,Azov Avia Airlines,
7A,,Aztec Worldwide Airlines,
AD,AZU,Azul Linhas Aéreas Brasileiras,
,AZZ,Azza Transport,
JA,BON,B&H Airlines,
TH,,BA Connect,
,RPX,BAC Express Airlines,
,BAC,BAC Leasing Limited,
B4,BCF,BACH Flugbetriebsges,
,BDR,Badr Airlines,
,BAE,BAE Systems,
,WFD,BAE Systems,
,WTN,BAE Systems,
UP,BHS,Bahamasair,
,BAB,Bahrain Air BSC,
,BFW,Bahrain Defence Force,
,BXA,Bahrain Executive Air Services,
,BJA,Baja Air,
8Q,BAJ,Baker Aviation,
,OGJ,Bakoji Airlines Services,
V9,BTC,BAL Bashkirian Airlines,
,BEF,Balear Express,
,BLN,Bali International Air Service,
,BAA,Balkan Agro Aviation,
,BHI,Balkh Airlines,
,PNT,Balmoral Central Contracts,
,BTL,Baltia Air Lines,
,BLL,Baltic Airlines,
,BLT,Baltic Aviation,
,BJC,Baltic Jet Aircompany,
,BTH,Baltijas Helicopters,
,CPJ,Baltimore Air Transport,
,EAH,Baltimore Airways,
,BTK,Baltyka,
,BMX,Banco de Mexico,
,BNS,Bancstar - Valley National,
PG,BKP,Bangkok Airways,
,HAW,Bangkok Aviation Center,
B4,BKA,Bankair,
,BBA,Bannert Air,
,AJC,Bar Harbor Airlines,
,BXH,Bar XH Air,
8N,NKF,Barents AirLink,
,BKJ,Barken International,
,CLN,Barnes Olsen Aeroleasing,
,BVN,Baron Aviation Services,
,BRO,BASE Regional Airlines,
,XBO,Baseops International,
,BFC,Basler Flight Service,
Y6,BTV,Batavia Air,
8W?,,BAX Global,
,BAV,Bay Aviation,
,BAY,Bayon Airlines,
BM,BYE,Bayu Indonesia Air,
,BCT,BCT Aviation,
,BFG,Bear Flight,
,PVO,Bearing Supplies Limited,
JV,BLS,Bearskin Lake Air Service,
,BBS,Beibars CJSC,
,BEH,Bel Air Helicopters,
,FOS,Bel Limited,
4T,BHP,Belair Airlines,
B2,BRU,Belavia Belarusian Airlines,
,BLG,Belgavia,
,BAF,Belgian Air Force,
,AYB,Belgian Army,
,NYB,Belgian Navy,
,BED,Belgorod Aviation Enterprise,
,TXB,Bell Helicopter Textron,
,LBY,Belle Air,
,BLC,Bellesavia,
B3,BLV,Bellview Airlines,
,BVU,Bellview Airlines Sierra Leone,
CH,BMJ,Bemidji Airlines,
,HAX,Benair,
,BNV,Benane Aviation,
,PEB,Benders Air,
A8,BGL,Benin Golf Air,
,LTL,Benin Littoral Airways,
,BNE,Benina Air,
,BNT,Bentiu Air Transport,
,BGT,Bergen Air Transport,
8E,BRG,Bering Air,
J8,BVT,Berjaya Air,
,BPK,Berkhut ZK,
,BEK,Berkut Air,
,BYA,Berry Aviation,
,BYR,Berytos Airlines,
,BAX,Best Aero Handling,
,BST,Best Air,
,BEA,Best Aviation,
,BET,BETA - Brazilian Express Transportes Aéreos,
,BKF,BF-Lento OY,
,POI,BGB Air,
,BGH,BH Air,
,BHO,Bhoja Airlines,
,BIG,Big Island Air,
GQ,BSY,Big Sky Airlines,
,BHR,Bighorn Airways,
,BIL,Billund Air Center,
BG,BBC,Biman Bangladesh Airlines,
,BID,Binair,
NT,IBB,Binter Canarias,
,BIR,Bird Leasing,
5Z,BML,Bismillah Airlines,
,BSS,Bissau Aero Transporte,
,BAU,Bissau Airlines,
,BDF,Bissau Discovery Flying Club,
,BSC,Bistair - Fez,
,VLX,Biz Jet Charter,
,BZA,Bizair Fluggesellschaft,
,BIZ,Bizjet,
,CKM,BKS Air,
,BAK,Blackhawk Airways,
,LED,Blom Geomatics,
0B,JOR,Blue Air,
,BUL,Blue Airlines,
,BLB,Blue Bird Aviation,
,VOL,Blue Chip Jet,
BZ,BDA,Blue Dart Aviation,
,BLH,Blue Horizon Travel Club,
,BCI,Blue Islands,
,BLJ,Blue Jet,
,BLE,Blue Line,
,BNL,Blue Nile Ethiopia Trading,
BV,BPA,Blue Panorama Airlines,
,BLM,Blue Sky Airlines,
,BSW,Blue Sky Airways,
,BSM,Blue Sky Aviation,
,BSD,Blue Star Airlines,
,BSJ,Blue Swann Aviation,
,BWI,Blue Wing Airlines,
KF,BLF,Blue1,
,BBZ,Bluebird Aviation,
BF,BBD,Bluebird Cargo,
BD,BMA,BMI,
WW,BMI,Bmibaby,
,BMW,BMW,
,BNG,BN Group Limited,
,BOE,Boeing,
,BIN,Boise Interagency Fire Center,
,BFO,Bombardier,
,LXJ,Bombardier Business Jet Solutions,
,BNR,Bonair Aviation,
,BOD,Bond Air Services,
,RHD,Bond Air Services,
,EBA,Bond Aviation,
,BND,Bond Offshore Helicopters,
,BOA,Boniair,
,BPT,Bonus Aviation,
,IRJ,Bonyad Airlines,
,BOO,Bookajet Limited,
,BOF,Bordaire,
,RRS,Boscombe Down DERA,
,ZBA,Boskovic Air Charters Limited,
,BHY,Bosphorus European Airways,
E9,CXS,Boston-Maine Airways,
,BTR,Botir-Avia,
BO,BOU,Bouraq Indonesia Airlines,
,BMN,Bowman Aviation,
7R,BRB,BRA-Transportes Aéreos,
,BAR,Bradly Air Services,
,BRN,Branson Airlines,
,BSI,Brasair Transportes Aéreos,
K6,BRV,Bravo Air Congo,
,BBV,Bravo Airlines,
,BRS,Brazilian Air Force,
,EXB,Brazilian Army Aviation,
,MBR,Brazilian Navy Aviation,
,BRE,Breeze,
,BRK,Briansk State Air Enterprise,
,BME,Briggs Marine Environmental Services,
,BHT,Bright Air,
,BRW,Bright Aviation Services,
E6,,Bringer Air Cargo Taxi Aéreo,
,CLF,Bristol Flying Centre,
,BHL,Bristow Helicopters,
,BHN,Bristow Helicopters Nigeria,
,BMH,Bristow Masayu Helicopters,
L9,BTZ,Bristow U.S.,
DB,BZH,Brit Air,
,BAL,Britannia Airways,
BA,BAW,British Airways,
,XMS,British Airways Santa,
,SHT,British Airways Shuttle,
,BAN,British Antarctic Survey,
,BCR,British Charter,
,BGI,British Gulf International,
,BGK,British Gulf International-Fez,
BS,BIH,British International Helicopters,
,BMD,British Medical Charter,
KJ,LAJ,British Mediterranean Airways,
,BMR,British Midland Regional,
,BNW,British North West Airlines,
,BPX,British Petroleum Exploration,
,BRT,British Regional Airlines,
,SKH,British Sky Broadcasting,
,BRD,Brock Air Services,
SN,BEL,Brussels Airlines,
,BXI,Brussels International Airlines,
,BTT,BT-Slavuta,
,BPS,Budapest Aircraft Services/Manx2,
,BHA,Buddha Air,
,BGR,Budget Air Bangladesh,
J4,BFL,Buffalo Airways,
,BVA,Buffalo Airways,
,BRX,Buffalo Express Airlines,
,BGM,Bugulma Air Enterprise,
,BKV,Bukovyna,
FB,LZB,Bulgaria Air,
,BVC,Bulgarian Aeronautical Centre,
,BUC,Bulgarian Air Charter,
,BPO,Bundespolizei-Fliegertruppe,
,XDA,Bureau Veritas,
,BFR,Burkina Airlines,
,IVR,Burundaiavia,
,BRY,Burundayavia,
,BUN,Buryat Airlines Aircompany,
,BAM,Business Air Services,
,RLR,Business Airfreight,
,BCV,Business Aviation Center,
,GAA,Business Express,
,EXP,Business Express Delivery,
,AUJ,Business Flight Salzburg,
,BFS,Business Flight Sweden,
,BJS,Business Jet Solutions,
,SCJ,Business Jet Sweden,
,BZZ,Butane Buzzard Aviation,
,PPS,Butte Aviation,
,BUZ,Buzz Stansted,
,UKA,Buzzaway Limited,
,BWL,BWA,
,BYL,Bylina,
,SRJ,C Air Jet Airlines,
,TIP,C and M Aviation,
,ORO,C N Air,
,RMU,C.S.P.,
,RWG,C&M Airways,
,CBR,Cabair College of Air Training,
,CBI,Cabi,
,CVE,Cabo Verde Express,
,CWD,Caernarfon Airworld,
,CCE,Cairo Air Transport,
5C,ICL,CAL Cargo Air Lines,
,CGC,Cal Gulf Aviation,
,REZ,Cal-West Aviation,
,CSL,California Air Shuttle,
XG,CLI,Calima Aviación,
MO,CAV,Calm Air,
,CMR,CAM Air Management,
R9,CAM,Camai Air,
,KHM,Cambodia Airlines,
,HSO,Campania Helicopteros De Transporte,
,PIL,Canada Jet Charters,
,CTG,Canadian Coast Guard,
,HIA,Canadian Eagle Aviation,
,CFC,Canadian Forces,
,BZD,Canadian Global Air Ambulance,
,CDN,Canadian Helicopters,
,TKR,Canadian Interagency Forest Fire Centre,
,XNC,Canadian National Telecommunications,
5T,MPE,Canadian North,
,CDR,Canadian Regional Airlines,
,CWH,Canadian Warplane Heritage Museum,
W2,CWA,Canadian Western Airlines,
,CWW,Canair,
,CUI,Cancun Air,
C6,CJA,CanJet,
9K,KAP,Cape Air,
,CTO,Cape Air Transport,
,SEM,Cape Central Airways,
,CMY,Cape Smythe Air,
,CPX,Capital Air Service,
,CPD,Capital Airlines,
,NCP,Capital Airlines Limited,
PT,CCI,Capital Cargo International Airlines,
,CCQ,Capital City Air Carriers,
,EGL,Capital Trading Aviation,
,CEX,Capitol Air Express,
,CWZ,Capitol Wings Airline,
,VAN,Caravan Air,
,CWN,Cardiff Wales Flying Club,
,FVA,Cardinal/Air Virginia,
,GOL,Cardolaar,
,CDI,Cards Air Services,
,CFH,Care Flight,
,CDM,Carga Aérea Dominicana,
,EST,Carga Express Internacional,
GG,GGC,Cargo 360,
,MCX,Cargo Express,
,CRV,Cargo Ivoire,
,CLM,Cargo Link,
8L,CGP,Cargo Plus Aviation,
,CTW,Cargo Three,
2G,CRG,Cargoitalia,
W8,CJT,Cargojet Airways,
CV,CLX,Cargolux,
C8,ICV,Cargolux Italia,
,CGM,Cargoman,
,DEL,Carib Aviation,
,BCB,Carib Express,
,CBC,Caribair,
,DCC,Caribbean Air Cargo,
,CLT,Caribbean Air Transport,
BW,BWA,Caribbean Airlines,
,IQQ,Caribbean Airways,
,TLC,Caribbean Express,
8B,GFI,Caribbean Star Airlines,
,CRT,Caribintair,
,CVG,Carill Aviation,
V3,KRP,Carpatair,
,ULS,Carroll Air Service,
,CMT,Casement Aviation,
,CSO,Casino Airline,
,CSP,Casper Air Service,
RV,CPN,Caspian Airlines,
,CSJ,Castle Aviation,
,CAZ,Cat Aviation,
,CTZ,CATA Línea Aérea,
,CBT,Catalina Flying Boats,
,TEX,Catex,
CX,CPA,Cathay Pacific,
,CJR,Caverton Helicopters,
KX,CAY,Cayman Airways,
,CCF,CCF Manager Airline,
5J,CEB,Cebu Pacific,
,CIL,Cecil Aviation,
,CED,CEDTA,
,CEG,Cega Aviation,
,CEC,Celtic Airways,
,CWE,Celtic West,
7N,CNA,Centavia,
,CEV,Cente D'Essais En Vol,
,CNL,Centennial Airlines,
,CVO,Center Vol,
,CTS,Center-South,
,CET,Centrafrican Airlines,
,CAX,Central Air Express,
,CTL,Central Airlines,
,CNY,Central Airways,
,ACN,Central American Airlines,
,YOG,Central Aviation,
3B,CCG,Central Connect Airlines,
,DRN,Central De Discos De Reynosa,
,CMA,Central European Airlines,
,CHA,Central Flying Service,
,CEM,Central Mongolia Airways,
,GLR,Central Mountain Air,
,CQC,Central Queensland Aviation College,
,CSI,Central Skyport,
C0,CLW,Centralwings,
,DTV,Centre Airlines,
,CNT,Centre national d'études des télécommunications - C.N.E.T.,
,CGS,Centre of Applied Geodynamica,
J7,CVC,Centre-Avia,
,ACF,Centro de Formación Aeronáutica de Canarias,
,CCV,Centro De Helicopteros Corporativos,
WE,CWC,Centurion Air Cargo,
,URY,Century Aviation,
,HAI,Century Aviation International,
,XAD,Certified Air Dispatch,
,CER,Cetraca Aviation Service,
,IRU,Chabahar Airlines,
,CLG,Chalair Aviation,
OP,CHK,Chalk's International Airlines,
,CHG,Challenge Aero,
,CLS,Challenge Air Transport,
,CHS,Challenge Aviation,
,OFF,Challenge International Airlines,
,CPH,Champagne Airlines,
MG,CCP,Champion Air,
,NCH,Chanchangi Airlines,
2Z,CGN,Chang'an Airlines,
,CHN,Channel Island Aviation,
,WML,Chantilly Air,
,CPL,Chaparral Airlines,
S8,CSU,Chari Aviation Services,
,CAH,Charlan Air Charter,
,HMD,Charlie Hammonds Flying Service,
,CGD,Charlotte Air National Guard,
,CHW,Charter Air,
,HRT,Chartright Air,
RP,CHQ,Chautauqua Airlines,
AW,SCH,CHC Airways,
,HBI,CHC Denmark,
,HEM,CHC Helicopter,
,HKS,CHC Helikopter Service,
,CBB,Cheboksary Airenterprise JSC,
,CHM,Chemech Aviation,
,CHZ,Cherline,
,CMK,Chernomor-Avia,
,CBM,Cherokee Express,
,CCY,Cherry Air,
,CAB,Chesapeake Air Service,
,CVR,Chevron U.S.A,
,CYA,Cheyenne Airways,
,CGO,Chicago Air,
,RAT,Chief Rat Flight Services,
,CCH,Chilchota Taxi Aéreo,
,DES,Chilcotin Caribou Aviation,
,CAD,Chilliwack Aviation,
,ETN,Chim-Nir Aviation,
CI,CAL,China Airlines,
CK,CKK,China Cargo Airlines,
MU,CES,China Eastern Airlines,
G5,HXA,China Express Airlines,
,CFA,China Flying Dragon Aviation,
,CTH,China General Aviation,
,CAG,China National Aviation,
,CHC,China Ocean Helicopter,
8Y,CYZ,China Postal Airlines,
CZ,CSN,China Southern Airlines,
KN,CUA,China United Airlines,
XO,CXH,China Xinhua Airlines,
,CGU,Chinguetti Airlines,
,CEP,Chipola Aviation,
,CPW,Chippewa Air Commuter,
X7,CHF,Chitaavia,
,CAS,Christman Air System,
,OEC,Christophorus Flugrettungsverein,
,CHO,Chrome Air Services,
,CHU,Church Aircraft,
,CFN,Church Fenton Flying Training Unit,
,VCI,CI-Tours,
A2,CIU,Cielos Airlines,
QI,CIM,Cimber Sterling,
,NTS,Cirrus Air,
C9,RUS,Cirrus Airlines,
,JTI,Cirrus Middle East,
,FIV,Citationshares,
,XCX,Citibank,
,HZX,Citic General Aviation,
CF,SDR,City Airline,
,XBG,City of Bangor,
,CAQ,Cityair,
,CII,Cityfly,
CJ,CFE,CityFlyer Express,
WX,BCY,CityJet,
,CNB,Cityline Hungary,
,HSR,Citylink Airlines,
,CIW,Civair Airways,
,CAP,Civil Air Patrol,
,CIA,Civil Aviation Authority,
,CIV,Civil Aviation Authority of New Zealand,
,CBA,Civil Aviation Inspectorate of the Czech Republic,
,CKC,CKC Services,
,FMC,Claessens International Limited,
,CLK,Clark Aviation,
,CSF,Clasair,
,CLY,Clay Lacy Aviation,
,CGK,Click Airways,
,CLZ,Cloud 9 Air Charters,
,CLD,Clowes Estates Limited,
,SDJ,Club 328,
6P,ISG,Club Air,
,CMZ,CM Stair,
,OAP,COAPA AIR,
BX,CST,Coast Air,
DQ,,Coastal Air,
,TCL,Coastal Air Transport,
,CNG,Coastal Airways,
,CSV,Coastal Travels,
,CNS,Cobalt Air,
,CHL,Cohlmia Aviation,
,OLR,Colaéreos,
,CLE,Colemill Enterprises,
9L,CJC,Colgan Air,
,CAE,Colibri Aviation,
