key,iata_code,name,city,country,latitude,longitude,altitude,timezone_offset,dst
KZUN,ZUN,Black Rock,Zuni Pueblo,United States,35.083228,-108.791778,6454,-7,A
LATI,TIA,Tirana Rinas,Tirana,Albania,41.414742,19.720561,126,1,E
LB14,HKV,Uzundzhovo,Haskovo,Bulgaria,41.976375,25.589817,160,2,E
LBBG,BOJ,Burgas,Bourgas,Bulgaria,42.569583,27.515236,135,2,E
LBGO,GOZ,Gorna Oryahovitsa,Gorna Orechovica,Bulgaria,43.151444,25.712889,285,2,E
LBPD,PDV,Plovdiv,Plovdiv,Bulgaria,42.067806,24.850833,597,2,E
LBSF,SOF,Sofia,Sofia,Bulgaria,42.695194,23.406167,1742,2,E
LBWN,VAR,Varna,Varna,Bulgaria,43.232072,27.825106,230,2,E
LCEN,ECN,Ercan International Airport,Nicosia,Cyprus,35.1547,33.4961,404,2,U
LCLK,LCA,Larnaca,Larnaca,Cyprus,34.875117,33.62485,8,2,U
LCPH,PFO,Pafos Intl,Paphos,Cyprus,34.718039,32.485731,41,2,U
LCRA,AKT,Akrotiri,Akrotiri,Cyprus,34.590416,32.987861,76,2,U
LDDU,DBV,Dubrovnik,Dubrovnik,Croatia,42.561353,18.268244,527,1,E
LDOS,OSI,Osijek,Osijek,Croatia,45.462667,18.810156,290,1,E
LDPL,PUY,Pula,Pula,Croatia,44.893533,13.922192,274,1,E
LDRI,RJK,Rijeka,Rijeka,Croatia,45.216889,14.570267,278,1,E
LDSB,BWK,Brac,Brac,Croatia,43.285719,16.679719,1776,1,E
LDSP,SPU,Split,Split,Croatia,43.538944,16.297964,79,1,E
LDZA,ZAG,Zagreb,Zagreb,Croatia,45.742931,16.068778,353,1,E
LDZD,ZAD,Zadar,Zadar,Croatia,44.108269,15.346697,289,1,E
LEAL,ALC,Alicante,Alicante,Spain,38.282169,-0.558156,142,1,E
LEAM,LEI,Almeria,Almeria,Spain,36.843936,-2.370097,70,1,E
LEAS,OVD,Asturias,Aviles,Spain,43.563567,-6.034622,416,1,E
LEBA,ODB,Cordoba,Cordoba,Spain,37.842006,-4.848878,297,1,E
LEBB,BIO,Bilbao,Bilbao,Spain,43.301097,-2.910608,138,1,E
LEBG,RGS,Burgos Airport,Burgos,Spain,42.357628,-3.620764,2945,1,E
LEBL,BCN,Barcelona,Barcelona,Spain,41.297078,2.078464,12,1,E
LEBZ,BJZ,Talavera La Real,Badajoz,Spain,38.89125,-6.821333,609,1,E
LECO,LCG,A Coruna,La Coruna,Spain,43.302061,-8.377256,326,1,E
LEDA,ILD,Lleida-Alguaire Airport,Lleida,Spain,41.727778,0.535833,1148,1,E
LEGE,GRO,Girona,Gerona,Spain,41.900969,2.760547,468,1,E
LEGR,GRX,Granada,Granada,Spain,37.188731,-3.777356,1860,1,E
LEHC,HSK,Huesca-Pirineos Airport,Huesca,Spain,42.080833,-0.323333,1768,0,U
LEIB,IBZ,Ibiza,Ibiza,Spain,38.872858,1.373117,20,1,E
LEJR,XRY,Jerez,Jerez,Spain,36.744622,-6.060111,93,1,E
LELC,MJV,Murcia San Javier,Murcia,Spain,37.774972,-0.812389,11,1,E
LELL,QSA,Sabadell Airport,Sabadell,Spain,41.5209,2.10508,0,1,E
LELN,LEN,Leon Airport,Leon,Spain,42.589,-5.655556,3006,1,E
LELO,RJL,Logroño-Agoncillo Airport,,Spain,42.4542,-2.32083,1161,1,E
